q59f12	84.5
q6nvi1	49.0
q59es3	62.5
p11279	40.5
q96el6	15.75
a0a024rbc7	18.5
p07948	18.5
q96a65	13.0
a0a087wyr3	12.5
q13464	12.5
o75147	12.0
q92569	12.0
o95248	11.5
q53gq0	6.5
o14495	5.5
q6pj06	8.5
q9ujf2	8.5
q9nq66	6.5
q92614	7.5
q59gx2	4.75
p24941	6.5
q99755	4.5
p23229	6.0
q15375	6.0
o15440	5.0
p35612	5.0
o43301	4.5
o75116	4.5
p41743	4.5
p53794	6.25
p62330	3.25
q9uet6	4.5
p07498	4.0
p20337	4.75
p54105	4.0
q9bsq5	4.0
q9byg5	4.0
q9upy5	4.0
p19022	3.5
p42338	3.5
p48426	3.5
q13308	3.5
q49a02	3.0
q8iwt6	3.5
q96t76	3.5
q9h223	3.5
b4dg79	3.0
p08648	3.0
q14118	3.0
q4le51	3.0
q8tf44	2.5
q8tf71	3.0
q8wtv0	3.0
q8wvq1	4.75
q9udr5	3.0
q9y6b6	3.0
p60953	2.75
q68d85	2.75
b4du42	2.5
o76082	2.5
p10321	2.5
p31323	2.5
p50443	2.5
p61160	2.5
p78356	2.5
q05655	2.75
q6dki1	2.5
q7z2i8	2.5
q96bd0	2.5
q96p47	2.5
q9h4n8	2.5
q9y673	2.5
o76039	2.0
p62834	2.5
p62891	2.0
q14699	2.0
q5t094	2.0
q96q45	2.0
q9nx20	2.0
q86wa9	25.5
q9h2v7	10.5
q7z3f1	7.5
q504r6	6.5
q96dt6	6.5
a8k379	6.0
p36405	6.0
o75390	5.5
q3syf1	5.0
q8nb49	5.0
q9uij5	5.0
q6nut3	4.0
o95714	3.5
q00013	3.5
o95562	3.0
q6pml9	3.0
q86wc4	3.0
q9gzu7	3.0
q9h1z9	3.0
q9y2q0	3.0
p11233	2.5
q04759	2.5
q9nq11	2.5
q9nva4	2.5
p10114	2.0
q562e7	2.0
q8n183	2.0
q8new0	2.0
q969e2	2.0
q9ns93	2.0
q9y4g2	2.0
