q3kqu3	49.25
q96t17	37.25
q15555	38.5
q9uld2	35.25
q8ix90	21.0
q8nhu6	19.0
q9nyz3	9.75
o75449	9.0
o94967	8.5
q8wts6	8.5
o60308	8.0
o00139	4.0
q5t7b8	6.0
q66k74	6.0
q9upp5	5.5
o75330	4.75
q8iya6	4.5
q14674	2.5
q86xj1	2.5
q9bva0	2.0
q71u36	884.125
p68363	610.5
q16555	125.25
q9bpu6	56.125
q14195	61.25
o14531	40.5
q14194	29.25
a6nhl2	21.0
q9uk76	10.25
q99471	13.333333333333334
q8n4u5	7.25
q9nqp4	5.5
q9y3r0	5.0
q9byv8	6.875
q96gy0	3.5
q9y241	3.5
q8wuh6	2.25
o15235	2.0
q5stk2	19.0
q9nug6	12.5
q9hc35	10.5
p06733	10.0
q13765	8.0
q8tf05	7.5
q6fgf7	5.0
q9bqk8	3.5
q9ulx3	3.5
q8te73	2.5
p15259	2.0
q9uhg0	2.0
p68366	812.0
p68371	371.0
q59gb4	237.5
q6den2	141.5
x5dni1	45.5
q9h910	15.5
q14240	13.0
p62888	8.0
p37837	4.5
p61006	4.5
q15286	4.5
q8iyb5	4.5
p08559	4.0
p53992	3.5
p55036	3.5
p18754	3.0
p29144	3.0
q14166	3.0
q9h7b2	3.0
p08133	2.5
q9ube0	2.5
v9hw40	2.5
p11802	2.0
p49840	2.0
